target_seed,condition,source_seed,control_id,heads_json,baseline_loss,ablated_loss,loss_delta,baseline_target_logit,ablated_target_logit,target_logit_delta
2,source_aligned,1,,"[[0, 10], [1, 7]]",1.4030600637197495,2.6429584473371506,1.2398983836174011,62.61258840560913,61.04396390914917,-1.568624496459961
2,source_same_index,3,,"[[0, 1], [1, 2]]",1.4030600637197495,1.9117721766233444,0.508712112903595,62.61258840560913,61.613037109375,-0.9995512962341309
2,source_aligned,3,,"[[0, 1], [1, 1]]",1.4030600637197495,3.4733411967754364,2.070281133055687,62.61258840560913,60.3036093711853,-2.308979034423828
2,source_same_index,4,,"[[0, 4], [1, 9]]",1.4030600637197495,1.3845731317996979,-0.018486931920051575,62.61258840560913,62.3074893951416,-0.3050990104675293
2,source_aligned,4,,"[[0, 5], [1, 1]]",1.4030600637197495,3.6910926401615143,2.288032576441765,62.61258840560913,60.39015293121338,-2.222435474395752
2,source_same_index,5,,"[[0, 7], [1, 2]]",1.4030600637197495,1.9642495959997177,0.5611895322799683,62.61258840560913,61.53999185562134,-1.072596549987793
2,source_aligned,5,,"[[0, 10], [1, 1]]",1.4030600637197495,3.5806875228881836,2.177627459168434,62.61258840560913,60.16526412963867,-2.447324275970459
2,source_same_index,6,,"[[0, 7], [1, 10]]",1.4030600637197495,1.528869017958641,0.1258089542388916,62.61258840560913,62.49280023574829,-0.11978816986083984
2,source_aligned,6,,"[[0, 1], [1, 1]]",1.4030600637197495,3.4733411967754364,2.070281133055687,62.61258840560913,60.3036093711853,-2.308979034423828
2,source_same_index,7,,"[[0, 1], [1, 6]]",1.4030600637197495,1.3991224467754364,-0.003937616944313049,62.61258840560913,62.38689613342285,-0.2256922721862793
2,source_aligned,7,,"[[0, 1], [1, 1]]",1.4030600637197495,3.4733411967754364,2.070281133055687,62.61258840560913,60.3036093711853,-2.308979034423828
2,source_same_index,8,,"[[0, 7], [1, 3]]",1.4030600637197495,1.415639579296112,0.01257951557636261,62.61258840560913,62.534862995147705,-0.07772541046142578
2,source_aligned,8,,"[[0, 9], [1, 1]]",1.4030600637197495,3.3267921805381775,1.923732116818428,62.61258840560913,59.98179626464844,-2.6307921409606934
2,source_same_index,9,,"[[0, 2], [1, 10]]",1.4030600637197495,1.5361887514591217,0.13312868773937225,62.61258840560913,62.44558572769165,-0.16700267791748047
2,source_aligned,9,,"[[0, 1], [1, 1]]",1.4030600637197495,3.4733411967754364,2.070281133055687,62.61258840560913,60.3036093711853,-2.308979034423828
3,own_top,,,"[[0, 1], [1, 2]]",2.2357551604509354,3.5075458884239197,1.2717907279729843,224.9958267211914,222.9653263092041,-2.0305004119873047
3,own_random,,0,"[[0, 5], [1, 1]]",2.2357551604509354,2.6680405735969543,0.432285413146019,224.9958267211914,223.06496810913086,-1.9308586120605469
3,own_random,,1,"[[0, 8], [1, 4]]",2.2357551604509354,2.6902048736810684,0.45444971323013306,224.9958267211914,223.9543342590332,-1.0414924621582031
3,own_random,,2,"[[0, 11], [1, 10]]",2.2357551604509354,3.183252304792404,0.9474971443414688,224.9958267211914,224.06206703186035,-0.9337596893310547
3,own_random,,3,"[[0, 4], [1, 5]]",2.2357551604509354,2.618242636322975,0.3824874758720398,224.9958267211914,225.12539100646973,0.1295642852783203
3,own_random,,4,"[[0, 10], [1, 4]]",2.2357551604509354,2.4540238082408905,0.21826864778995514,224.9958267211914,224.31233406066895,-0.6834926605224609
3,own_random,,5,"[[0, 11], [1, 6]]",2.2357551604509354,3.075672820210457,0.8399176597595215,224.9958267211914,223.78750801086426,-1.2083187103271484
3,own_random,,6,"[[0, 0], [1, 4]]",2.2357551604509354,2.3854536563158035,0.14969849586486816,224.9958267211914,224.58906745910645,-0.40675926208496094
3,own_random,,7,"[[0, 2], [1, 4]]",2.2357551604509354,2.109680727124214,-0.1260744333267212,224.9958267211914,224.45741844177246,-0.5384082794189453
3,source_same_index,1,,"[[0, 7], [1, 3]]",2.2357551604509354,2.184135138988495,-0.05162002146244049,224.9958267211914,224.7122287750244,-0.2835979461669922
3,source_aligned,1,,"[[0, 1], [1, 0]]",2.2357551604509354,2.815552443265915,0.5797972828149796,224.9958267211914,223.79928398132324,-1.196542739868164
