config,head_dims_json,local_weight,induction_weight,seed,local_accuracy,induction_accuracy,local_top_slot,local_top_dim,local_top_score,local_top_specialization,induction_top_slot,induction_top_dim,induction_top_score,induction_top_specialization,local_top_is_64,induction_top_is_64,same_top_slot,same_top_dim
hetero4,"[16, 16, 32, 64]",0.1,1.0,2,0.999755859375,0.9986979812383652,L1H3:d64,64,0.1137814992616768,0.8396992660737221,L0H2:d32,32,2.5697633660165593,0.510318577236464,True,False,False,False
hetero4,"[16, 16, 32, 64]",0.1,1.0,3,0.999755859375,0.9994791895151138,L0H3:d64,64,0.2715209071175195,0.7165224196851722,L1H3:d64,64,1.504573975224048,0.988104273030408,True,True,False,True
hetero4,"[16, 16, 32, 64]",0.1,1.0,4,1.0,0.9994792193174362,L0H3:d64,64,0.1741707490728004,0.870624029565998,L0H3:d64,64,3.4305436003778595,0.8006139347974923,True,True,True,True
hetero4,"[16, 16, 32, 64]",0.1,1.0,5,1.0,0.997526079416275,L0H3:d64,64,0.2937963288059109,0.6932996311199944,L0H0:d16,16,5.55803197924979,0.36637497623179666,True,False,False,False
hetero4_64first,"[64, 16, 16, 32]",0.25,1.0,1,1.0,0.9979166984558105,L0H2:d16,16,0.3332797339753597,0.5912385114088634,L0H2:d16,16,9.901507931412198,0.5124945160792169,False,False,True,True
hetero4_64first,"[64, 16, 16, 32]",0.25,1.0,2,1.0,1.0,L1H0:d64,64,0.26131751536377124,0.9690335759226604,L0H2:d16,16,6.5239018616848625,0.4925504283242213,True,False,False,False
hetero4_64first,"[64, 16, 16, 32]",0.25,1.0,3,0.999755859375,0.9972656816244125,L0H1:d16,16,0.13643881896496168,0.6556096501875449,L0H1:d16,16,6.232997222105041,0.5886188208480068,False,False,True,True
hetero4_64first,"[64, 16, 16, 32]",0.25,1.0,4,1.0,0.9985677599906921,L1H0:d64,64,0.1477491631740122,0.8428350950530729,L0H0:d64,64,4.062511448631994,0.5957205452615537,True,True,False,True
hetero4_64first,"[64, 16, 16, 32]",0.25,1.0,5,1.0,0.9997396171092987,L1H0:d64,64,0.29055708686064463,0.9790634145173358,L0H3:d32,32,2.8686660867824685,0.5566246303648078,True,False,False,False
hetero4_64third,"[16, 32, 64, 16]",0.25,1.0,1,1.0,0.998697966337204,L0H3:d16,16,0.14999100944623933,0.6457228323025572,L0H3:d16,16,7.8962279935367405,0.4155319416288244,False,False,True,True
