config,family,role,n,top_dim_counts,top_dim_mode,top_dim_mode_count,accuracy_mean,specialization_mean,effective_heads_mean
hetero2_unique_mild,entity_coreference,negative_name_control,5,80:5,80,5,1.0,0.9264341745682948,1.3080840722370553
hetero2_unique_mid,copy_transport,local_copy,5,96:5,96,5,1.0,0.9910961059190868,1.05181817016256
hetero2_unique_mid,copy_transport,previous_token,5,96:5,96,5,1.0,0.8357055283168234,1.4675948252306532
hetero2_unique_mid,copy_transport,kv_lookup,5,96:5,96,5,0.998828125,0.551678630362231,2.057789734174598
hetero2_unique_mid,copy_transport,duplicate_token,5,96:5,96,5,0.999609375,0.8951862959978115,1.332990655279652
hetero2_unique_mid,induction,induction_short,5,96:5,96,5,0.9994531273841858,0.6752711830844487,2.196401113101678
hetero2_unique_mid,induction,induction_long,5,96:5,96,5,0.9971946090459823,0.5027925633587634,2.632337026333624
hetero2_unique_mid,induction,induction_ngram,5,"32:1, 96:4",96,4,0.998193359375,0.49234696852023624,2.7402931052309625
hetero2_unique_mid,induction,false_induction_control,5,"32:1, 96:4",96,4,1.0,0.6401070036039258,2.05299289457418
hetero2_unique_mid,position_boundary,bos_sink,5,"32:1, 96:4",96,4,1.0,0.8573109717894767,1.4720215634112734
hetero2_unique_mid,position_boundary,sep_sink,5,32:5,32,5,1.0,0.7044232713774324,1.906520928978971
hetero2_unique_mid,position_boundary,fixed_offset_prev,5,"32:1, 96:4",96,4,1.0,0.8197915735245822,1.5573860617706985
hetero2_unique_mid,position_boundary,punctuation_boundary,5,"32:4, 96:1",32,4,1.0,0.6765606259544705,1.9081858073475875
hetero2_unique_mid,suppression_conflict,distractor_suppression,5,"32:2, 96:3",96,3,1.0,0.690219872461547,1.9434343119302153
hetero2_unique_mid,suppression_conflict,anti_copy,5,"32:1, 96:4",96,4,1.0,0.8310090887897645,1.4216086269478
hetero2_unique_mid,suppression_conflict,wrong_key_suppression,5,"32:1, 96:4",96,4,0.999609375,0.866512495544456,1.4207215768685433
hetero2_unique_mid,suppression_conflict,recency_conflict,5,96:5,96,5,1.0,0.9603173092592637,1.14495552628331
hetero2_unique_mid,entity_coreference,repeated_name_detection,5,"32:1, 96:4",96,4,1.0,0.7745868368039113,1.6989504574490812
hetero2_unique_mid,entity_coreference,pronoun_antecedent,5,96:5,96,5,1.0,0.961839420304919,1.1561562993493903
hetero2_unique_mid,entity_coreference,simple_ioi_name_mover,5,96:5,96,5,1.0,0.8089143802425477,1.6152172031574146
hetero2_unique_mid,entity_coreference,negative_name_control,5,96:5,96,5,1.0,0.9903619017657583,1.0554853881918942
hetero2_unique_extreme,copy_transport,local_copy,5,112:5,112,5,1.0,0.9993996801942411,1.0051515352906268
hetero2_unique_extreme,copy_transport,previous_token,5,112:5,112,5,1.0,0.9839459191431235,1.0718484823820909
hetero2_unique_extreme,copy_transport,kv_lookup,5,112:5,112,5,0.997265625,0.5430055534596595,2.0090280505264206
hetero2_unique_extreme,copy_transport,duplicate_token,5,112:5,112,5,1.0,0.7970994531913582,1.6375650888999356
hetero2_unique_extreme,induction,induction_short,5,112:5,112,5,1.0,0.6615640746126433,2.0774978878240797
hetero2_unique_extreme,induction,induction_long,5,112:5,112,5,0.9997869402170181,0.5259237280321509,2.3636178186610923
hetero2_unique_extreme,induction,induction_ngram,5,112:5,112,5,0.999951171875,0.5201279502195553,2.518026588480012
hetero2_unique_extreme,induction,false_induction_control,5,112:5,112,5,1.0,0.6722703834128219,1.9348917437913897
hetero2_unique_extreme,position_boundary,bos_sink,5,112:5,112,5,1.0,0.851229298509202,1.4206965724027674
hetero2_unique_extreme,position_boundary,sep_sink,5,"16:2, 112:3",112,3,1.0,0.6433637911730674,2.01892470471017
hetero2_unique_extreme,position_boundary,fixed_offset_prev,5,"16:1, 112:4",112,4,1.0,0.8026015090405606,1.5243131612918746
hetero2_unique_extreme,position_boundary,punctuation_boundary,5,"16:1, 112:4",112,4,1.0,0.8029437145518619,1.6040692362246276
hetero2_unique_extreme,suppression_conflict,distractor_suppression,5,112:5,112,5,1.0,0.6799522223106633,1.9033269158010022
hetero2_unique_extreme,suppression_conflict,anti_copy,5,112:5,112,5,1.0,0.8264949369151212,1.5565008141626362
hetero2_unique_extreme,suppression_conflict,wrong_key_suppression,5,112:5,112,5,1.0,0.9318841830707001,1.2961676848239059
hetero2_unique_extreme,suppression_conflict,recency_conflict,5,112:5,112,5,1.0,0.9962210291401513,1.024380231480949
hetero2_unique_extreme,entity_coreference,repeated_name_detection,5,"16:2, 112:3",112,3,1.0,0.7453221478854154,1.6640917409730438
hetero2_unique_extreme,entity_coreference,pronoun_antecedent,5,112:5,112,5,1.0,0.9318264214852221,1.2745261949910291
hetero2_unique_extreme,entity_coreference,simple_ioi_name_mover,5,112:5,112,5,1.0,0.6901790193395682,1.7723246637030612
hetero2_unique_extreme,entity_coreference,negative_name_control,5,112:5,112,5,1.0,0.9925470760517164,1.0450228208619436
