config,seed,head_dims_json,eval_loss,local_loss,induction_loss,local_accuracy,induction_accuracy,local_top_layer,local_top_head,local_top_head_dim,local_top_role_score,local_top_specialization,local_random_same_layer_role_score_mean,local_top_accuracy_delta,induction_top_layer,induction_top_head,induction_top_head_dim,induction_top_role_score,induction_top_specialization,induction_random_same_layer_role_score_mean,induction_top_accuracy_delta,same_top_slot,same_top_head_dim,role_distribution_tv_distance,role_distribution_overlap
hetero4_64first,9,"[64, 16, 16, 32]",0.002653112300322391,0.00016376889107050374,0.0051424557459540665,1.0,0.9990234971046448,1,0,64,0.22088146441819845,0.964188543797599,0.00297687674901681,-0.0347900390625,0,1,16,7.9060345237958245,0.8271923490439718,0.5313199138618074,-0.7455729618668556,False,False,0.40937097080522833,0.5906290291947717
hetero4_64first,10,"[64, 16, 16, 32]",0.0002939061487268191,0.0001213083169204765,0.00046650398144265637,1.0,1.0,1,0,64,0.1084816178181427,0.9275937753115913,0.0030437249001806777,-0.006103515625,1,0,64,0.9945514492355869,0.9086717207166519,0.04298011736682383,-0.20442704111337662,True,True,0.4486038696934311,0.5513961303065689
hetero4_64second,1,"[16, 64, 16, 32]",0.00035489404763211496,0.00010585793825157452,0.0006039301661076024,1.0,1.0,1,1,64,0.0787376490461611,0.9125952300707505,0.002081849031128513,-0.0054931640625,0,2,16,4.4180828769895015,0.9384684758399348,0.1291099241207121,-0.44446612894535065,False,False,0.6981707109048587,0.3018292890951414
hetero4_64second,2,"[16, 64, 16, 32]",0.0002932745701400563,0.00012095736201445106,0.00046559178008465096,1.0,1.0,1,1,64,0.11126561185483297,0.9454588714415497,0.0017316828980256105,-0.006103515625,0,2,16,2.0521833995662746,0.816475088060118,0.1395220205959049,-0.31555985659360886,False,False,0.600954759033083,0.39904524096691696
hetero4_64second,3,"[16, 64, 16, 32]",0.0002754197812464554,0.00011212422214157414,0.00043871533853234723,1.0,1.0,1,1,64,0.09487053708471649,0.8793550900684752,0.007161566130889696,-0.00537109375,1,1,64,0.8999026911260444,0.8027449529294846,0.108479890091985,-0.1945963129401207,True,True,0.12550058069048797,0.8744994193095121
hetero4_64second,4,"[16, 64, 16, 32]",0.000279841864539776,0.00011490300948935328,0.0004447807223186828,1.0,1.0,1,1,64,0.14371088131611032,0.9568807558418887,0.002381590327786398,-0.021728515625,0,0,16,3.252318371400179,0.5718484689857093,0.9131222521737072,-0.34843747317790985,False,False,0.36018533846612477,0.6398146615338752
hetero4_64second,5,"[16, 64, 16, 32]",0.0002605540903459769,0.00010609391210891772,0.0004150142667640466,1.0,1.0,1,1,64,0.2039302611065068,0.9716098451448304,0.0022629103427789232,-0.0262451171875,0,2,16,5.2756131420137535,0.6565663376950441,0.8569246321676474,-0.5178385190665722,False,False,0.7819772652311556,0.21802273476884426
hetero4_64second,6,"[16, 64, 16, 32]",0.00027202447745366953,9.59210992732551e-05,0.00044812785199610516,1.0,1.0,1,1,64,0.0901427906974277,0.9463320059257236,0.001332424700649426,-0.012939453125,1,1,64,0.9950234986681608,0.8626572126240625,0.07403144241106929,-0.20429682731628418,True,True,0.39535414945947495,0.604645850540525
hetero4_64second,7,"[16, 64, 16, 32]",0.0007772927492624149,0.00014275588364398573,0.0014118295803200454,1.0,0.9999349042773247,1,1,64,0.32312118358640873,0.9778648673720524,0.002122998506820295,-0.0616455078125,0,1,64,1.769356812845217,0.7733256898438716,0.1590107702941168,-0.29342445731163025,False,True,0.5554376260934433,0.4445623739065566
hetero4_64second,8,"[16, 64, 16, 32]",0.0003481778912828304,0.00011705810902640224,0.0005792976735392585,1.0,1.0,1,1,64,0.17112397943856195,0.9336619879758732,0.005550168141780887,-0.027587890625,0,0,16,1.3214666395069798,0.6000600025311501,0.3674880197359016,-0.2310546562075615,False,False,0.3508479866803328,0.6491520133196671
hetero4_64second,9,"[16, 64, 16, 32]",0.000280062660749536,0.00011117003123217728,0.0004489552811719477,1.0,1.0,1,1,64,0.12440124255408591,0.9571416169097651,0.0020620438699552324,-0.0078125,1,1,64,1.1810391116305254,0.9064920592370559,0.03299960573349381,-0.2581379860639572,True,True,0.4473515311639072,0.5526484688360929
hetero4_64second,10,"[16, 64, 16, 32]",0.00026408489429741167,0.00010690302497096127,0.00042126675543840975,1.0,1.0,1,1,64,0.1194470205819016,0.965697369084923,0.0019783173015639477,-0.0096435546875,0,0,16,6.191283662119531,0.875119588535261,0.417285966934287,-0.5883463360369205,False,False,0.4318146465466398,0.5681853534533603
