config,seed,role_a,family_a,role_b,family_b,same_family,tv_distance,similarity
"48,80",4,kv_b,kv_lookup,induction_long,induction,False,0.8044652516315334,0.19553474836846663
"48,80",4,induction_short,induction,induction_long,induction,True,0.07760206231936403,0.9223979376806359
"48,80",5,local_a,local_copy,local_b,local_copy,True,0.00973756811521198,0.990262431884788
"48,80",5,local_a,local_copy,kv_a,kv_lookup,False,0.6393576257786272,0.3606423742213728
"48,80",5,local_a,local_copy,kv_b,kv_lookup,False,0.648288914706143,0.351711085293857
"48,80",5,local_a,local_copy,induction_short,induction,False,0.8403641560311202,0.15963584396887975
"48,80",5,local_a,local_copy,induction_long,induction,False,0.7708414610888411,0.2291585389111589
"48,80",5,local_b,local_copy,kv_a,kv_lookup,False,0.6393576257786272,0.3606423742213728
"48,80",5,local_b,local_copy,kv_b,kv_lookup,False,0.648288914706143,0.351711085293857
"48,80",5,local_b,local_copy,induction_short,induction,False,0.8403641560311202,0.15963584396887975
"48,80",5,local_b,local_copy,induction_long,induction,False,0.7708414610888412,0.22915853891115878
"48,80",5,kv_a,kv_lookup,kv_b,kv_lookup,True,0.016908633916671176,0.9830913660833288
"48,80",5,kv_a,kv_lookup,induction_short,induction,False,0.7132848632215513,0.28671513677844873
"48,80",5,kv_a,kv_lookup,induction_long,induction,False,0.6423109273799202,0.35768907262007976
"48,80",5,kv_b,kv_lookup,induction_short,induction,False,0.7161921808490856,0.28380781915091435
"48,80",5,kv_b,kv_lookup,induction_long,induction,False,0.6401482176458333,0.3598517823541667
"48,80",5,induction_short,induction,induction_long,induction,True,0.08852533726602996,0.91147466273397
"16,112",1,local_a,local_copy,local_b,local_copy,True,0.00013459030555004877,0.9998654096944499
"16,112",1,local_a,local_copy,kv_a,kv_lookup,False,0.49313666780199583,0.5068633321980042
"16,112",1,local_a,local_copy,kv_b,kv_lookup,False,0.4145940934102603,0.5854059065897397
"16,112",1,local_a,local_copy,induction_short,induction,False,0.44661726936675894,0.5533827306332411
"16,112",1,local_a,local_copy,induction_long,induction,False,0.6037513928607183,0.39624860713928167
"16,112",1,local_b,local_copy,kv_a,kv_lookup,False,0.4931554252007731,0.506844574799227
"16,112",1,local_b,local_copy,kv_b,kv_lookup,False,0.41461285080903765,0.5853871491909624
"16,112",1,local_b,local_copy,induction_short,induction,False,0.44663602676553626,0.5533639732344637
"16,112",1,local_b,local_copy,induction_long,induction,False,0.6038432578970048,0.39615674210299523
"16,112",1,kv_a,kv_lookup,kv_b,kv_lookup,True,0.07854257439173547,0.9214574256082645
"16,112",1,kv_a,kv_lookup,induction_short,induction,False,0.05175794444218247,0.9482420555578175
