config,seed_a,seed_b,layer,raw_diag_mean,matched_mean,random_perm_mean,matched_minus_random,raw_role_similarity,aligned_role_similarity,random_role_similarity,raw_top_head_match,aligned_top_head_match,best_assignment_json
hetero4,1,5,1,0.49038299918174744,0.49038299918174744,0.47829001426696777,0.01209298491477967,0.9965751230099993,0.9965751230099993,0.2617422758128853,True,True,"[[0, 0], [1, 1], [2, 2], [3, 3]]"
hetero4,2,3,0,0.8889104127883911,0.8902927041053772,0.88676045358181,0.003532250523567204,0.9857062986597298,0.05849259787622518,0.22543305345245532,True,False,"[[0, 0], [1, 1], [2, 3], [3, 2]]"
hetero4,2,3,1,0.4819629490375519,0.4819629490375519,0.4730078062415123,0.008955142796039595,0.98398733598288,0.98398733598288,0.2956078270680703,True,True,"[[0, 0], [1, 1], [2, 2], [3, 3]]"
hetero4,2,4,0,0.8586764335632324,0.8615695238113403,0.8579540354013443,0.003615488409996037,0.9352179531767509,0.10330236745831833,0.2639811432649758,True,False,"[[0, 3], [1, 1], [2, 0], [3, 2]]"
hetero4,2,4,1,0.4737880229949951,0.4737880229949951,0.4614012685418129,0.012386754453182214,0.9622723875128925,0.9622723875128925,0.3010161447371124,True,True,"[[0, 0], [1, 1], [2, 2], [3, 3]]"
hetero4,2,5,0,0.8947679996490479,0.8947679996490479,0.891603696346283,0.003164303302764848,0.970922376328435,0.970922376328435,0.2684505323269883,True,True,"[[0, 0], [1, 1], [2, 2], [3, 3]]"
hetero4,2,5,1,0.4698711037635803,0.4716290831565857,0.4588102424144745,0.012818840742111204,0.9600873186442661,0.9587582715215196,0.2798627814732952,True,True,"[[0, 1], [1, 0], [2, 2], [3, 3]]"
hetero4,3,4,0,0.806104302406311,0.8071764707565308,0.8055516123771668,0.0016248583793639915,0.9217199707023263,0.10096530034994122,0.2443234147014649,True,False,"[[0, 0], [1, 3], [2, 1], [3, 2]]"
hetero4,3,4,1,0.4533308744430542,0.4552684426307678,0.4433322924375534,0.011936150193214423,0.9773506180741456,0.9773506180741456,0.31247526713477014,True,True,"[[0, 1], [1, 0], [2, 2], [3, 3]]"
hetero4,3,5,0,0.8840956091880798,0.8853163123130798,0.8812043702602387,0.0041119420528411554,0.9848996423777808,0.029833377137476913,0.3036621601608484,True,False,"[[0, 1], [1, 0], [2, 3], [3, 2]]"
hetero4,3,5,1,0.4817994236946106,0.4817994236946106,0.4742480981349945,0.007551325559616073,0.974708203481871,0.974708203481871,0.2643836532214968,True,True,"[[0, 0], [1, 1], [2, 2], [3, 3]]"
hetero4,4,5,0,0.8468918204307556,0.8500721454620361,0.846495618224144,0.0035765272378921464,0.9066196130801071,0.908360960583036,0.2928187318999371,True,True,"[[0, 1], [1, 0], [2, 2], [3, 3]]"
